message,label
"Забыл пароль, сбросьте срочно.",account
"Не могу зайти в аккаунт, пишет ""неверный логин"".",account
"Срочно сбросьте почту, старый адрес недоступен.",account
"Аккаунт заблокирован, нужна разблокировка.",account
Не приходит письмо с подтверждением на почту.,account
"Сменил пароль, но войти всё равно не могу.",account
"Двухфакторная аутентификация не работает, код не приходит.",account
Не могу восстановить доступ через секретный вопрос.,account
"Профиль не отображается после входа, только белый экран.",account
Ошибка при попытке привязать новый номер телефона.,account
"Забыл пароль, а резервная почта не указана.",account
"Не могу зайти, система пишет ""аккаунт не найден"".",account
"Срочно сбросьте почту, старый ящик удалён.",account
Аккаунт заблокирован за подозрительную активность.,account
Не приходит письмо с восстановлением пароля.,account
"Сменил пароль, но система его не принимает.",account
Двухфакторная аутентификация зависла на этапе ввода кода.,account
"Не могу восстановить доступ, секретный вопрос не помню.",account
"После входа профиль пустой, данных нет.",account
Ошибка при смене привязанного номера телефона.,account
"Забыл пароль, а привязанный номер телефона недоступен.",account
"Не могу зайти, пишет ""ваша сессия истекла"".",account
"Срочно сбросьте почту, доступ к старой почте утерян.",account
"Аккаунт заблокирован, хотя я ничего не нарушал.",account
Не приходит письмо с подтверждением регистрации.,account
"Сменил пароль, но войти можно только с другого устройства.",account
Двухфакторная аутентификация не включается в настройках.,account
Не могу восстановить доступ через резервную почту.,account
"Профиль не загружается, только крутится индикатор.",account
Ошибка при попытке сменить привязанный e-mail.,account
"Забыл пароль, а функция восстановления отключена.",account
"Не могу зайти, система пишет ""слишком много попыток"".",account
"Срочно сбросьте почту, старая почта взломана.",account
"Аккаунт заблокирован по ошибке, прошу разблокировать.",account
Не приходит письмо с инструкциями по восстановлению.,account
"Сменил пароль, но система требует старый пароль.",account
Двухфакторная аутентификация не отключается.,account
"Не могу восстановить доступ, контрольный вопрос не срабатывает.",account
После входа в профиль все настройки сброшены.,account
Ошибка при попытке добавить новый способ входа.,account
"Забыл пароль, а привязанный номер телефона заблокирован оператором.",account
"Не могу зайти, пишет ""ваш аккаунт требует проверки"".",account
"Срочно сбросьте почту, старая почта больше не существует.",account
"Аккаунт заблокирован за неактивность, прошу восстановить доступ.",account
Не приходит письмо с подтверждением смены пароля.,account
"Записала пароль на листочек и потеряла, как мне войти?",account
"Не могу вспомнить логин, подскажите, как восстановить?",account
"Как мне войти в личный кабинет, если не приходит SMS?",account
"Забыл пароль, а внук помогал регистрироваться, его сейчас нет.",account
"Не могу найти, где нажать ""Забыли пароль?"".",account
"Пытаюсь войти, а система пишет ""неверный пароль"", хотя я всё правильно ввожу.",account
"Не приходит письмо на почту для восстановления, что делать?",account
"Секретный вопрос не помню, как теперь войти?",account
"После обновления всё поменялось, не могу найти вход.",account
"Внук сказал, что я заблокировала аккаунт, как разблокировать?",account
"Записала пароль на листочек и потеряла, как мне войти?",account
"Не могу вспомнить логин, подскажите, как восстановить?",account
"Как мне войти в личный кабинет, если не приходит SMS?",account
"Забыл пароль, а внук помогал регистрироваться, его сейчас нет.",account
"Не могу найти, где нажать ""Забыли пароль?"".",account
"Пытаюсь войти, а система пишет ""неверный пароль"", хотя я всё правильно ввожу.",account
"Не приходит письмо на почту для восстановления, что делать?",account
"Секретный вопрос не помню, как теперь войти?",account
"После обновления всё поменялось, не могу найти вход.",account
"Внук сказал, что я заблокировала аккаунт, как разблокировать?",account
"Не могу войти, пишет ""аккаунт не найден"".",account
"Забыл пароль, а номер телефона изменился.",account
Как мне восстановить доступ через электронную почту?,account
"Не могу вспомнить, какой e-mail указывала при регистрации.",account
"Внук помогал настроить, а теперь я не могу войти одна.",account
"Пытаюсь войти, а система пишет ""слишком много попыток"".",account
Не приходит SMS с кодом подтверждения.,account
"Забыл пароль, а резервной почты нет.",account
"Как мне изменить пароль, если я не могу войти?",account
Не могу найти кнопку входа на сайте.,account
После ввода пароля страница просто обновляется.,account
"Внук сказал, что я неправильно ввожу логин.",account
"Не могу вспомнить, какой пароль устанавливала.",account
